number,issue_date,department,applies_to,meant_for,subject,path
RBI/2025-26/258,2026-03-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) – Amendment Directions, 2026 (Revised)",
RBI/2025-26/257,2026-03-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) – Third Amendment Directions, 2026 (Revised)",
RBI/2025-26/256,2026-03-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026 (Revised)",
RBI/2025-26/255,2026-03-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Concentration Risk Management) Amendment Directions, 2026 (Revised)",
RBI/2025-26/254,2026-03-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Amendment Directions, 2026 (Revised)",
RBI/2025-26/253,2026-03-30,AP-DIR,Authorised Dealers (Category-I),"All Authorised Dealer Category I Banks,","Reporting under Foreign Exchange Management Act, 1999 – Returns pertaining to External Commercial Borrowing (ECB)",
RBI/2025-26/252,2026-03-27,AP-DIR,Authorised Persons,"To, All Authorised Persons",NOP-INR position of Authorised Dealers,
RBI/FMRD/2025-26/392,2026-03-27,FMRD,,All eligible market participants,"Master Direction - Reserve Bank of India (Unique Identifiers in Financial Markets) Directions, 2026",
RBI/2025-26/251,2026-03-27,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Listing of 02 Entries",
RBI/2025-26/250,2026-03-16,DCM,,All Currency Chest (CC) holding banks,"Currency Chest operations on March 31, 2026",
RBI/DOR/2025-26/249,2026-03-16,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Financial Statements: Presentation and Disclosures) – Second Amendment Directions, 2026",
RBI/DOR/2025-26/248,2026-03-16,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Financial Statements: Presentation and Disclosures) – Third Amendment Directions, 2026",
RBI/DOR/2025-26/246,2026-03-16,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Financial Statements: Presentation and Disclosures) Second Amendment Directions, 2026",
RBI/DOR/2025-26/245,2026-03-16,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Financial Statements: Presentation and Disclosures) Amendment Directions, 2026",
RBI/DOR/2025-26/247,2026-03-16,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Financial Statements: Presentation and Disclosures) – Second Amendment Directions, 2026",
RBI/DOR/2025-26/244,2026-03-16,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) – Third Amendment Directions, 2026",
RBI/DOR/2025-26/243,2026-03-16,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) – Fifth Amendment Directions, 2026",
RBI/2025-26/242,2026-03-11,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC's 1988 (2011) Taliban Sanctions List: Amendment of 22 Entries: UAPA Update 02 of 2026",
RBI/2025-26/241,2026-03-10,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions (AIFIs) - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2025-26/240,2026-03-10,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2025-26/239,2026-03-10,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/2025-26/391,2026-03-10,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",
RBI/2025-26/390,2026-03-10,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",
RBI/2025-26/238,2026-03-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/DOR/2025-26/237,2026-03-10,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Prudential Norms on Declaration of Dividends) Repeal Directions, 2026",
RBI/2025-26/389,2026-03-10,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",
RBI/DOR/2025-26/236,2026-03-10,DOR,Payments Banks,,"Reserve Bank of India (Payment Banks – Prudential Norms on Declaration of Dividends) Repeal Directions, 2026",
RBI/DOR/2025-26/235,2026-03-10,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Declaration of Dividends) Repeal Directions, 2026",
RBI/2025-26/388,2026-03-10,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",
RBI/DOR/2025-26/234,2026-03-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Prudential Norms on Declaration of Dividend and Remittance of Profit) Repeal Directions, 2026",
RBI/2025-26/387,2026-03-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Prudential Norms on Declaration of Dividend and Remittances of Profits) Directions, 2026",
RBI/DOR/2025-26/233,2026-03-10,DOR,Foreign Banks,,"Reserve Bank of India (Setting Up of Wholly Owned Subsidiaries by Foreign Banks) Amendment Guidelines, 2026",
RBI/2025-26/232,2026-03-10,DOR,Standalone Primary Dealers; Primary Dealers,All Standalone Primary Dealers (SPDs),"Reserve Bank of India (Standalone Primary Dealers) Amendment Directions, 2026",
RBI/2025-26/231,2026-03-10,DOR,Asset Reconstruction Companies,All Asset Reconstruction Companies (ARCs),"Reserve Bank of India (Asset Reconstruction Companies) Amendment Directions, 2026",
RBI/2025-26/230,2026-03-10,DOR,,All Mortgage Guarantee Companies (MGCs),"Reserve Bank of India (Mortgage Guarantee Companies) Amendment Directions, 2026",
RBI/2025-26/229,2026-03-10,DOR,Credit Information Companies,All Core Investment Companies (CICs),"Reserve Bank of India (Core Investment Companies) Amendment Directions, 2026",
RBI/2025-26/227,2026-03-10,DOR,Non-Banking Financial Companies,All Non-Banking Financial Companies (NBFCs),"Reserve Bank of India (Non-Banking Financial Companies - Concentration Risk Management) Second Amendment Directions, 2026",
RBI/2025-26/226,2026-03-10,DOR,Non-Banking Financial Companies,All Non-Banking Financial Companies (NBFCs),"Reserve Bank of India (Non-Banking Financial Companies – Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2025-26/228,2026-03-10,DOR,Housing Finance Companies,All Housing Finance Companies (HFCs),"Reserve Bank of India (Housing Finance Companies) Amendment Directions, 2026",
RBI/2025-26/225,2026-03-02,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA,1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Delisting of 01 entry",
RBI/DoR/2025-26/224,2026-02-26,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Miscellaneous) Amendment Directions, 2026",
RBI/2025-26/223,2026-02-18,AP-DIR,Authorised Persons,All Authorised Persons,"Reporting under Foreign Exchange Management Act, 1999 – Returns pertaining to External Commercial Borrowing (ECB)",
RBI/2025-26/222,2026-02-18,FMRD,,All eligible market participants,Unique Transaction Identifier for OTC Derivative Transactions,
RBI/2025-26/221,2026-02-16,AP-DIR,Authorised Dealers (Category-I),"All Authorised Dealer Category I Banks,","Foreign Exchange Management (Borrowing and Lending) (First Amendment) Regulations, 2026",
RBI/2025-26/220,2026-02-16,FIDD,,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation of new district in the State of Haryana – Assignment of Lead Bank Responsibility,
RBI/2025-26/219,2026-02-13,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Financial Statements:Presentation and Disclosures) – Second Amendment Directions, 2026",
RBI/2025-26/218,2026-02-13,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2025-26/215,2026-02-13,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) – Amendment Directions, 2026",
RBI/2025-26/217,2026-02-13,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Concentration Risk Management) Amendment Directions, 2026",
RBI/2025-26/216,2026-02-13,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Amendment Directions, 2026",
RBI/2025-26/214,2026-02-13,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements:Presentation and Disclosures) – Third Amendment Directions, 2026",
RBI/2025-26/212,2026-02-13,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Concentration Risk Management) Amendment Directions, 2026",
RBI/2025-26/211,2026-02-13,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Amendment Directions, 2026",
RBI/2025-26/213,2026-02-13,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2025-26/210,2026-02-13,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2025-26/208,2026-02-13,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2025-26/209,2026-02-13,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Credit Facilities) Amendment Directions, 2026",
RBI/2025-26/207,2026-02-11,CEPD,Regional Rural Banks; Commercial Banks,All Scheduled Commercial Banks (excluding Regional Rural Banks),Strengthening of Grievance Redress Mechanism in Banks – Review,
RBI/2025-26/206,2026-02-09,FIDD,,,"Lending to Micro, Small & Medium Enterprises (MSME) Sector (Amendment) Directions, 2026",
RBI/2025-26/205,2026-02-06,AP-DIR,Authorised Dealers (Category-I),All Authorised Dealer Category-I banks,Voluntary Retention Route – Imparting predictability and increasing ease of doing business,
RBI/2025-26/204,2026-02-03,DOR,Agency Banks,"All Agency Banks All Agency Banks to remain open for public on March 31, 2026 (Tuesday)","The Government of India has made a request to keep all branches of the banks dealing with Government receipts and payments open for transactions on March 31, 2026 (Tuesday-Public Holiday) so as to account for all the Government transactions relating to receipts and payments in the Financial Year 2025-26 itself. Accordingly, Agency Banks are advised to keep all their branches dealing with governmen",
RBI/2025-26/203,2026-01-22,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/202,2026-01-22,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/201,2026-01-22,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/200,2026-01-22,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/199,2026-01-22,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/198,2026-01-22,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/2025-26/197,2026-01-22,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2026",
RBI/FIDD/2025-26/196,2026-01-19,FIDD,,,"Reserve Bank of India (Priority Sector Lending – Targets and Classification) (Amendment) Directions, 2026",
RBI/2025-26/195,2026-01-19,DOR,Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks,All Scheduled Commercial Banks (excluding Regional Rural Banks); Primary (Urban) Co-operative Banks; State Co-operative Banks; All-India Financial Institutions,Interest Subvention for Pre- and Post- Shipment Export Credit under Export Promotion Mission (EPM) – Niryat Prothsahan,
RBI/2025-26/194,2026-01-16,AP-DIR,,"All Authorised Dealers,",Export and Import of Goods and Services,
RBI/CEPD/2025-26/386,2026-01-14,CEPD,Credit Information Companies,,"Reserve Bank of India ( Credit Information Companies - Internal Ombudsman) Directions, 2026",
RBI/CEPD/2025-26/385,2026-01-14,CEPD,,,"Reserve Bank of India (Non-Bank Prepaid Payment Instruments Issuers - Internal Ombudsman) Directions, 2026",
RBI/CEPD/2025-26/384,2026-01-14,CEPD,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Internal Ombudsman) Directions, 2026",
RBI/CEPD/2025-26/383,2026-01-14,CEPD,Payments Banks,,"Reserve Bank of India (Payments Banks - Internal Ombudsman) Directions, 2026",
RBI/CEPD/2025-26/382,2026-01-14,CEPD,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Internal Ombudsman) Directions, 2026",
RBI/CEPD/2025-26/381,2026-01-14,CEPD,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Internal Ombudsman) Directions, 2026",
RBI/2025-26/193,2026-01-13,FIDD,Small Finance Banks,"The Chairman/Managing Director/Chief Executive Officer All Public Sector Banks, Private Sector Banks and Small Finance Banks",Modified Interest Subvention Scheme for Short Term Loans for Agriculture and Allied Activities availed through Kisan Credit Card (KCC) during the financial year 2025-26,
RBI/2025-26/192,2026-01-12,AP-DIR,Authorised Dealers (Category-I),"All Authorised Dealer Category I Banks,","Foreign Exchange Management (Guarantees) Regulations, 2026",
RBI/2025-26/191,2026-01-09,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions (AIFIs) - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2025-26/190,2026-01-09,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2025-26/189,2026-01-09,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2025-26/187,2026-01-05,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Financial Statements: Presentation and Disclosures) Directions, Amendment Directions, 2026",
RBI/2025-26/188,2026-01-05,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/185,2026-01-05,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/186,2026-01-05,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/184,2026-01-05,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/183,2026-01-05,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/182,2026-01-05,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) – Amendment Directions, 2026",
RBI/2025-26/181,2026-01-05,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) – Second Amendment Directions, 2026",
RBI/2025-26/180,2026-01-05,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/179,2026-01-05,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/178,2026-01-05,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/175,2026-01-05,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/176,2026-01-05,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/177,2026-01-05,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/173,2026-01-05,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/174,2026-01-05,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Risk Management) – Amendment Directions, 2026",
RBI/2025-26/172,2026-01-01,DPSS,,All Prepaid Payment Instrument (PPI) Issuers,Returns – Department of Payment and Settlement Systems – Submission in CIMS,
RBI/2025-26/171,2026-01-01,DPSS,,All White Label ATM Operators,Returns – Department of Payment and Settlement Systems – Submission in CIMS,
RBI/2025-26/169,2026-01-01,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Concentration Risk Management) Amendment Directions, 2026",
RBI/2025-26/170,2026-01-01,DPSS,,All MTSS Overseas Principals,Returns – Department of Payment and Settlement Systems – Submission in CIMS,
RBI/2025-26/168,2026-01-01,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2025-26/167,2026-01-01,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Financial Statements: Presentation and Disclosures) Amendment Directions, 2026",
RBI/2025-26/166,2025-12-29,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/163,2025-12-29,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/165,2025-12-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/164,2025-12-29,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/161,2025-12-29,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/162,2025-12-29,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/160,2025-12-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/158,2025-12-29,DOR,Asset Reconstruction Companies,,"Reserve Bank of India (Asset Reconstruction Companies – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/159,2025-12-29,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/157,2025-12-29,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Know Your Customer) Amendment Directions, 2025",
RBI/2025-26/156,2025-12-24,DPSS,,The Chairman / Managing Director / Chief Executive Officer of Banks participating in Cheque Truncation System / National Payments Corporation of India,Continuous Clearing and Settlement on Realisation in Cheque Truncation System: Phase 2,
RBI/2025-26/155,2025-12-18,FIDD,,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation of new district in the State of Gujarat – Assignment of Lead Bank Responsibility,
RBI/2025-26/153,2025-12-11,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/154,2025-12-11,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/152,2025-12-11,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/151,2025-12-11,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/150,2025-12-11,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/149,2025-12-11,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/148,2025-12-11,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Amendment Directions, 2025",
RBI/2025-26/144,2025-12-11,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/143,2025-12-11,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Miscellaneous) – Amendment Directions, 2025",
RBI/2025-26/147,2025-12-11,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/146,2025-12-11,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/145,2025-12-11,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/142,2025-12-11,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/141,2025-12-11,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Risk Management) – Amendment Directions, 2025",
RBI/2025-26/140,2025-12-08,AP-DIR,Authorised Persons,All Authorised Persons,Export and Import of Indian Currency to or from Nepal and Bhutan,
RBI/FMRD/2025-26/380,2025-12-08,FMRD,,To All participants in Rupee interest rate derivatives markets,"Master Direction – Reserve Bank of India (Rupee Interest Rate Derivatives) Directions, 2025",
RBI/DOR/2025-26/139,2025-12-05,DOR,,,"Reserve Bank of India (Non-Operative Financial Holding Company) (Amendment) Directions, 2025",
RBI/DOR/2025-26/138,2025-12-05,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Undertaking of Financial Services) (Amendment) Directions, 2025",
RBI/DOR/2025-26/137,2025-12-05,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Undertaking of Financial Services) (Amendment) Directions, 2025",
RBI/DOR/2025-26/135,2025-12-05,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) (Amendment) Directions, 2025",
RBI/DOR/2025-26/136,2025-12-05,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Undertaking of Financial Services) (Amendment) Directions, 2025",
RBI/2025-26/134,2025-12-05,DOR,All Banks,"All banks,",Penal Interest on shortfall in CRR and SLR requirements - Change in Bank Rate,
RBI/2025-26/133,2025-12-05,MPD,Primary Dealers,"All Primary Dealers,",Standing Liquidity Facility for Primary Dealers,
RBI/2025-26/132,2025-12-05,FMOD,,All Liquidity Adjustment Facility (LAF) participants,Liquidity Adjustment Facility - Change in rates,
RBI/DOR/2025-26/296,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Branch Authorisation) Directions, 2025",
RBI/DOR/2025-26/269,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Licensing, Scheduling and Regulatory Classification) Guidelines, 2025",
RBI/DOR/2025-26/271,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Branch Authorisation) Directions, 2025",
RBI/DOR/2025-26/319,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Miscellaneous) Directions, 2025",
RBI/2025-26/131,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Amendment Directions, 2025",
RBI/2025-26/130,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2025",
RBI/2025-26/129,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2025",
RBI/2025-26/128,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2025",
RBI/2025-26/126,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Concentration Risk Management) Amendment Directions, 2025",
RBI/2025-26/127,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Concentration Risk Management) Amendment Directions, 2025",
RBI/2025-26/125,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Credit Facilities) Amendment Directions, 2025",
RBI/2025-26/124,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Credit Facilities) Amendment Directions, 2025",
RBI/DOR/2025-26/122,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Branch Authorisation) Repeal Directions, 2025",
RBI/DOR/2025-26/120,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Licensing, Scheduling and Regulatory Classification) Repeal Guidelines, 2025",
RBI/DOR/2025-26/123,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Miscellaneous) (Amendment) Directions, 2025",
RBI/DOR/2025-26/121,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Branch Authorisation) Repeal Directions, 2025",
RBI/DOR/2025-26/119,2025-12-04,DOR,Credit Information Companies,,"Reserve Bank of India (Credit Information Companies) Amendment Directions, 2025",
